legacyId,uploadLimit,identifier,authorizedFormOfName,parallelFormsOfName,otherFormsOfName,types,contactPerson,streetAddress,city,region,country,postalCode,telephone,fax,email,website,history,geoculturalContext,mandates,internalStructures,collectingPolicies,buildings,holdings,findingAids,openingTimes,accessConditions,disabledAccess,researchServices,reproductionServices,publicFacilities,descriptionIdentifier,institutionIdentifier,descriptionRules,descriptionStatus,levelOfDetail,descriptionRevisionHistory,language,script,descriptionSources,maintenanceNote,geographicSubregions,thematicAreas,culture
2651,-1,BALHIST,"Laboratório de História Social do Trabalho",,LHIST,,,"Estrada do Bem Querer, Km 04 - s/nº - Bairro Universitário","Vitória da Conquista",Bahia,BR,45083-900,"55 77 3424-8697",,lhist.uesb@gmail.com,,,,"O Laboratório de História Social do Trabalho da Universidade Estadual do Sudoeste da Bahia (LHIST/Uesb) tem por principal atribuição a guarda e manutenção preventiva de documentos relativos à História Social do Trabalho na região Sudoeste da Bahia. A base de seu acervo é constituída pela documentação das Juntas de Conciliação e Julgamento e Varas do Trabalho de Vitória da Conquista, desde 1963.","Vinculação Administrativa: Universidade Estadual do Sudoeste da Bahia - UESB",,,"A principal base documental do acervo do LHIST integraliza cerca de 350 metros lineares de documentação da Justiça do Trabalho. Essa documentação é composta por processos trabalhistas, cópias de atas e sentenças, fichas de acompanhamento de processos e códices diversos oriundos das Juntas/Varas do Trabalho de Vitória da Conquista e Itapetinga.","Blog de divulgação do acervo e das atividades do Laboratório de História Social do Trabalho da Universidade Estadual do Sudoeste da Bahia
https://lhist.blogspot.com/?fbclid=IwAR0dEIHndqGrpawcYsI8nDOMX9fPRZL92Evvs9pZopyzEkEmerBS4_BLFT4",,"Consulta aberta ao público.",,,"Reprodução eletrostática",,,"BR BALHIST",,Final,Parcial,,pt_BR,,,,,"Cadastro Nacional de Entidades Custodiadoras de Arquivos (CODEARQ)",pt_BR
792,-1,BAUFBA,"Universidade Federal da Bahia",,,,,"Rua Augusto Viana , - Palácio da Reitoria nº: s/n Canela",Salvador,Bahia,BR,40110-909,"55 71 3283-6975 / 7062 / 7073",,gabinete@ufba.br,http://www.ufba.br,,,,,,,,,,,,,,,,"BR BAUFBA",,Final,Parcial,,pt_BR,,,,,"Cadastro Nacional de Entidades Custodiadoras de Arquivos (CODEARQ)|Memórias Reveladas",pt_BR
2631,-1,BAAPMLF,"Arquivo Público Municipal de Lauro de Freitas",,,,,"Rua Queira Deus, nº 895","Lauro de Freitas",Bahia,BR,42.700-000,,"55 71 3369-9219",isabela.arquivo.secad@gmail.com,,,,"Custodiar os documentos de valor permanente e intermediário acumulados pelos órgãos da Prefeitura e Câmara no exercício de suas funções dando-lhe tratamento técnico de pleno acesso. Estender a custódia aos documentos de origem privada considerados de interesse público municipal, sempre que houver conveniência a oportunidade, na forma estabelecida em regulamento. Estabelecer diretrizes e normas e exerce a supervisão, articulação e orientação técnica das unidades que desenvolvem atividades de protocolo e arquivo corrente no âmbito dos Poderes Executivos e Legislativos do Município.","Vinculação Administrativa: Secretaria Municipal de Administração",,,"Acervo em fase de organização, com datas-limites entre 1960-2016. Gênero textual, bibliográfico, cartográfico e iconográfico. Em sua totalidade suporte papel com poucas fitas magnéticas, acondicionados em caixa box e armazenado em estantes de aço.",,,"Documentos em fase de organização.",,,,,,"BR BAAPMLF",,Final,Parcial,,pt_BR,,,,,"Cadastro Nacional de Entidades Custodiadoras de Arquivos (CODEARQ)",pt_BR
2639,-1,BAAPMSGR,"Arquivo Público Municipal Sansão Geraldo Ribeiro",,,,,"Praça José Prado Alves, s/nº - Centro",Ourolândia,Bahia,BR,44718-000,"55 74 3681-2467 / 2119",,luci-barros@hotmail.com,,,,"Custodiar os documentos de valor permanente e intermediário acumulados pelos órgãos da Prefeitura e Câmara, dando-lhes tratamento técnico e garantia de pleno acesso.","Vinculação Administrativa: Secretaria de Educação e Cultura",,,,,"De segunda a sexta-feira, das 9h às 12h e das 14h às 17h.","Há restrição de acesso aos documentos em fase de organização, necessidade de autorização.",,,"Reprodução eletrostática.",,,"BR BAAPMSGR",,Final,Parcial,,pt_BR,,,,,"Cadastro Nacional de Entidades Custodiadoras de Arquivos (CODEARQ)",pt_BR
10946,-1,BAPOLOJUD,"Polo Regional Judiciário de Caetité",,,,,"Pç. Dr. Deocleciano Teixeira, 52",Caetité,Bahia,BR,46.400-000,"55 77  3454-1227",,gruposertoes@gmail.com,http://acervos.uneb.br/index.php/,"Ano de criação: 2011",,"Preservar acervos judiciais de vinte e oito Comarcas localizadas nas regiões Sudoeste e Oeste do estado da Bahia, por meio da gestão, recolhimento e difusão dos documentos judiciais. Administrado pelo Departamento de Ciências Humanas (DCH VI), campus de Caetité, da Universidade do Estado da Bahia (UNEB), o PoloJUD conta com a parceria do Tribunal de Justiça do Estado da Bahia (TJBA).","Vinculação Administrativa:
Universidade do Estado da Bahia (UNEB).",,,"Documentação do Judiciário e cartorial.",,"De segunda a sexta-feira, das 8h às 18h.","Acesso on-line e presencial.",,,"Reprodução fotográfica e digital.",,,"BR BAPOLOJUD",,Final,Completo,,pt_BR,,,,,"Cadastro Nacional de Entidades Custodiadoras de Arquivos (CODEARQ)",pt_BR
10950,-1,BAAPMPS,"Arquivo Público Municipal de Porto Seguro",,,,,"Rua Carlos Alberto Cancela, 228 - Bairro Cambolo","Porto Seguro",Bahia,BR,45810-993,,,arquivomunicipal@portoseguro.ba.gov.br,,"Ano de Criação:
2010",,"Promover a salvaguarda dos documentos produzidos pelo Município de Porto Seguro a fim de garantir o acesso à informação pública, assim como propiciar a valorização da história e memória local.","Vinculação Administrativa:
Secretaria de Administração do Município",,,"Documentação acumulada ao longo dos anos da administração do município, tendo Porto Seguro 129 anos completos em 30 de junho do ano de 2020. No segundo semestre de 2019, a documentação municipal que é raramente consultada começou a ser armazenada em um imóvel com o fim de concentrar o trabalho de tratamento técnico arquivístico, assim como dar início ao desenvolvimento das políticas arquivísticas municipais. Parte com etiquetas de identificação feitas na origem do documento. Parte armazenada em pastas a/z e caixas-arquivo de material plástico. Documentação atingida por pragas e agentes de deterioração ambiente. Não existem normas, manuais, plano ou código de classificação que regulam as atividades de arquivo.",,"De segunda a sexta-feira, das 8h às 12h.","Necessidade de organização e necessidade de prévio aviso.",,,"Reprodução por fotocópia com necessidade de prévio aviso.",,,"BR BAAPMPS",,Final,Completo,,pt_BR,,,,,"Cadastro Nacional de Entidades Custodiadoras de Arquivos (CODEARQ)",pt_BR
8617,-1,BAAPMCF,"Arquivo Público Municipal Antonio Cerqueira Antunes",,,,,"Rua Dr. Alfredo Mascarenhas, s/nº - Centro","Conceição da Feira",Bahia,BR,44320-000,"55 75 3244-3800",,,,,,,"Secretaria de Administração",,,,,"De segunda a sexta-feira, das 7h às 13h.","Consulta aberta ao público",,,,,,"BR BAAPMCF",,Final,Completo,,pt_BR,,,,,"Cadastro Nacional de Entidades Custodiadoras de Arquivos (CODEARQ)|Arquivos municipais",pt_BR
8619,-1,BANUDOC,"Núcleo de Memória e Documentação do Recôncavo",,,,,"Rua Rui Barbosa, 710, Centro
 -","Cruz das Almas",Bahia,BR,44.380-000,"55 75 3425-2238",,"nudoc@cahl.ufrb.edu.br; procult.ufrb@ufrb.edu.br",www.ufrb.edu.br/nudoc,"Criado pela Portaria 584/2011 de 8 de novembro de 2011,  o Núcleo de Memória e Documentação do Recôncavo (NUDOC) é um espaço de encontro, reflexão e produção de pesquisa. O local reúne diversas áreas de pesquisas e estudos do Recôncavo, abrigando arquivos e documentos que guardam a cultura e a história do território através de arquivos escritos, impressos, fotográficos e audiovisuais.

https://www.ufrb.edu.br/nudoc/sobre-o-nudoc (Acesso fev 2020)",,"O NUDOC tem como missão promover o acesso a informação e dar suporte as atividades de ensino, pesquisa, e extensão da Universidade Federal do Recôncavo da Bahia, além de preservar, conservar e salvaguardar todos os acervos em seu espaço.","Vinculação Administrativa:
Universidade Federal do Recôncavo da Bahia",,,"Reunir documentação dispersa em poder de instituições e particulares do Recôncavo da Bahia, classificando, restaurando, digitalizando e disponibilizando para a consulta aos pesquisadores. Além do acervo de fontes escritas, o NUDOC abriga registros de tradições orais, rezas, receitas, cantigas, sambas-de-roda, histórias e lendas locais. Estes acervos deverão ser disponibilizados para pesquisadores e para comunidades, servindo de base para elaboração de projetos e estratégias de desenvolvimento regional. O NUDOC também desenvolve atividades juntos à comunidade através da disponibilização de espaço e apoio para artistas locais e de outras regiões para realizarem eventos diversos, como recitais e exposições. As exposições abarcam pintura, escultura, vídeo, fotografia e artesanato que retratam pessoas, paisagens e comunidades locais.",,"De segunda a sexta-feira, das 8h às 18h.","Atendimento às solicitações por correio eletrônico.",,,,,,"BR BANUDOC",,Final,Completo,,pt_BR,,,,,"Cadastro Nacional de Entidades Custodiadoras de Arquivos (CODEARQ)",pt_BR
8621,-1,BADIMAS,"Diretoria de Artes Visuais e Multimeios",,,,,"Rua do Tijolo, 15 - Centro",Salvador,Bahia,BR,40020-246,"55 71 3116-8102",,cinematecadabahia@funceb.ba.gov.br,http://www.dimas.ba.gov.br/modules/conteudo/conteudo.php?conteudo=76,,,"A Fundação Cultural da Bahia, através da sua Diretoria do Audiovisual (DIMAS), com o intuito de promover a disseminação do patrimônio audiovisual baiano criou a Cinemateca da Bahia que visa preservar a memória do audiovisual baiano, salvaguardar bens materiais e imateriais, estimular a pesquisa e dinamizar o acesso do público, tanto à história documentada, como às criações ficcionais produzidas no nosso Estado e difundidas através das imagens em movimento. A Cinemateca da Bahia tem como missão ainda estabelecer espaços de discussões acerca dos conceitos de preservação, restauro, salvaguarda, das técnicas e transformações do audiovisual ao longo do tempo, além da legislação para o segmento. Também faz parte de suas atribuições desenvolver ações de mediação cultural e difusão do cinema no Estado.","Vinculação Administrativa:
Fundação Cultural do Estado da Bahia",,,"A Cinemateca da Bahia reúne, atualmente, o mais importante acervo especializado em audiovisual da Bahia. Composto por aproximadamente oito mil itens, como películas cinematográficas (em torno de 550, nos suportes 35mm, 16mm, Super 8), vídeos analógicos ( 1.512 unidades em VHS, Umatic, Betacam) e DVDs, Blu-Rays, HDCAM, Betacam Digital ( 816 filmes), cartazes (370, dos quais 93 baianos, 107 brasileiros e 170 internacionais), fotografias (1.500 imagens), revistas, catálogos, livros e roteiros (2.850 exemplares), que contam parte significativa da história do cinema baiano, do século 20 aos dias de hoje, além de dispor de peças referentes à cinematografia brasileira e internacional.",,"De segunda a sexta-feira, das 8h às 12h e das 14h às 17h.","Presencial acompanhado por funcionário.",,,"Reprodução digital.",,,"BR BADIMAS",,Final,Completo,,pt_BR,,,,,"Cadastro Nacional de Entidades Custodiadoras de Arquivos (CODEARQ)",pt_BR
2619,-1,BAAHMMB,"Arquivo Histórico Municipal Memória de Brumado",,,,,"Rua Dr. Mário Meira, nº 51 - Centro",Brumado,Bahia,BR,46100-000,"55 77 34412587",,arquivohistoricomunicipal_bdo@yahoo.com.br,,,,"Gerir o recolhimento, o tratamento técnico, a preservação, a exposição e o manuseio das diversas fontes documentais públicas e privadas sob sua custódia, adquiridos por meio de doações, estimulando seu acesso de acordo com as normas que asseguram o seu cumprimento.","Vinculação Administrativa: Secretaria Municipal de Educação",,,"O Arquivo Histórico Municipal custodia documentos originados dos poderes executivo e legislativo municipal, do judiciário nacional e estadual; bibliográficos diversos, oriundos da Biblioteca Municipal da cidade; vasto acervo iconográfico, bem como documentos privados (pecuniários, cartas, contábeis, de trabalho, móveis, entre outros) adquiridos através de doação de membros da sociedade brumadense.",,"De segunda a sexta-feira, das 7h30 às 11h30 e das 13h30 às 17h30.","Há restrição de acesso aos documentos em fase de organização.",,,"Reprodução fotográfica, digital e transcrição de originais.",,,"BR BAAHMMB",,Final,Parcial,,pt_BR,,,,,"Cadastro Nacional de Entidades Custodiadoras de Arquivos (CODEARQ)",pt_BR
2625,-1,BAAPMCT,"Arquivo Público Municipal de Caetité",,,,,"Pç. Dr. Deocleciano Teixeira, 52 - Centro",Caetité,Bahia,BR,46400-000,"55 77 3454-1227",,arquivocaetite@uneb.br,http://www.acervos.uneb.br/index.php/arquivo-p-blico-municipal-de-caetit,,,"A Casa de Memória Edmundo Cardoso é uma instituição privada, formada por uma Biblioteca, um Arquivo e um Museu em organização. É uma casa de pesquisa por excelência que traz fragmentos da história do município de Santa Maria. Sua finalidade é preservar e disponibilizar suas fontes documentais para a comunidade, especialmente aos pesquisadores e estudantes de nível superior.
A CMEC é coordenada por Therezinha de Jesus Pires Santos e Gilda May Cardoso Santos, segunda esposa e filha de Edmundo, respectivamente.","Vinculação Administrativa: Secretaria de Educação e Cultura",,,"Documentos legislativos (1808-1980); judiciários dos cartórios do cível e do crime (1847-1990, da sede e distritais); documentos do executivo (1810-2008); acervos privados de interesse público (1817-1996); acervo iconográfico (1845-1972); jornais (1897-2002); acervo bibliográfico (1823-2000).",,"De segunda a sexta-feira, das 9h às 12h e 14h30 às 18h.","Consulta aberta ao público",,,"Reprodução digital e transcrição de originais.",,,"BR BAAPMCT",,Final,Parcial,,pt_BR,,,,,"Cadastro Nacional de Entidades Custodiadoras de Arquivos (CODEARQ)",pt_BR
2645,-1,"BR BAFAPESB","Fundação de Amparo à Pesquisa do Estado da Bahia",,FAPESB,,,"Rua Aristides Novis, 203 - Colina de São Lázaro",Salvador,Bahia,BR,40.210-720,"55 71 3116-7611",,gabrielle.martins@fapesb.ba.gov.br,http://www.fapesb.ba.gov.br/,"A Fundação de Amparo à Pesquisa do Estado da Bahia – Fapesb é a agência de indução e fomento à pesquisa e à inovação científica e tecnológica do Estado da Bahia, vinculada à Secretaria de Ciência, Tecnologia e Inovação – Secti. A Fapesb foi criada em 2001 com a finalidade de apoiar projetos de natureza científica, tecnológica e de inovação, que sejam considerados relevantes para o desenvolvimento científico, tecnológico, econômico e social do Estado.

A Fundação possui diversos programas por meio dos quais são lançados editais que visam fortalecer a pesquisa local, criar redes de articulação, estimular a ciência e o ensino, para que sejam realizados estudos que contribuam, dentre outras ações, para a diminuição das desigualdades sociais, a preservação do meio ambiente e o fortalecimento da economia do estado da Bahia.",,"Viabilizar ações de Ciência, Tecnologia e Inovação para o desenvolvimento sustentável da Bahia.","Vinculação Administrativa: Secretaria de Ciência, Tecnologia e Inovação.",,,"O centro de Documentação e Informação da FAPESB possui, prioritariamente, documentos originados de suas atividades fim, sendo composto por tipologias e suportes ramificados, desde processos aprovados de submissão de propostas a editais e projetos lançados pela fundação até livros que: foram publicados através do amparo da mesma, representam uma prestação de contas das bolsas concedidas a projetos de pesquisa ou doados de outras FAPS ou pesquisadores.",,"De segunda a sexta-feira, das 8h às 17h.","Há restrição de acesso aos documentos, necessidade de autorização.",,,,,,"BR BAFAPESB",,Final,Parcial,,pt_BR,,,,,"Cadastro Nacional de Entidades Custodiadoras de Arquivos (CODEARQ)",pt_BR
2517,-1,BACMB,"Centro de Memória da Bahia",,,,,"Rua General Labatut, nº 27 - 3º andar - prédio da Biblioteca Pública do Estado da Bahia - Barris",Salvador,Bahia,BR,40070-100,"55 71 3116-6030",,cmb.fpc@fpc.ba.gov.br,http://www.fpc.ba.gov.br,,,"O Centro de Memória da Bahia, Unidade da Fundação Pedro Calmon/Secretaria de Cultura do Estado da Bahia, tem como m objetivo a localização, o recolhimento, a preservação e a organização de arquivos privados de personalidades públicas da Bahia; produzir fontes para pesquisa que possibilitem a ampliação e a difusão do conhecimento sobre a história da Bahia.",,,,"Acervos privados de ex-Governadores do Estado da Bahia e de personalidades que tiveram participação na vida política do Estado.",,"De segunda a sexta-feira, das 8h às 12h e das 14h às 18h.","Consulta aberta ao público.",,,"Reprodução fotográfica, digital e transcrição de originais.",,,"BR BACMB",,Final,Parcial,,pt_BR,,,,,"Cadastro Nacional de Entidades Custodiadoras de Arquivos (CODEARQ)",pt_BR
